"Qty","Value","Footprint","Datasheet"
"1","Battery_Cell","Battery:BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032",""
"1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"39","LED","LED_THT:LED_D5.0mm",""
"1","WC1602A","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"1","DS12885+","Library:DIP1524W51P254L3175H508Q24N","http://datasheets.maximintegrated.com/en/ds/DS12885-DS12C887A.pdf"
"1","Power","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"4","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"1","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical",""
"64","SW_Push_45deg","Button_Switch_SMD:SW_SPST_PTS810",""
"1","SW_Push","Button_Switch_THT:SW_PUSH_6mm",""
"2","74HC04","Package_DIP:DIP-14_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf"
"1","4068","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/ds/symlink/cd4068b.pdf"
"1","74154","Package_DIP:DIP-24_W7.62mm","https://www.ti.com/lit/gpn/CD74HCT154"
"1","74LS573 IO0","Package_DIP:DIP-20_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT573.pdf"
"1","74LS573","Package_DIP:DIP-20_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT573.pdf"
"1","CY62256-70PC","Package_DIP:DIP-28_W15.24mm","https://ecee.colorado.edu/~mcclurel/Cypress_SRAM_CY62256.pdf"
"1","28C256 Additional","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf"
"1","28C256","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0006.pdf"
"1","Z84C00xxP","Package_DIP:DIP-40_W15.24mm","https://archive.org/details/zilog-z-8400"
"1","74LS573 IO1","Package_DIP:DIP-20_W7.62mm","https://assets.nexperia.com/documents/data-sheet/74HC_HCT573.pdf"
"1","SN76489AN","Package_DIP:DIP-16_W7.62mm","https://www.vgmpf.com/Wiki/images/7/78/SN76489AN_-_Manual.pdf"
"1","74HCT02","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74hct02"
"1","20MHZ","Oscillator:Oscillator_DIP-14","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"
"1","Crystal 32768Hz","Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Vertical",""
"1","4MHZ","Oscillator:Oscillator_DIP-14","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"
